s1_name,s2_a_url,s3_location
株式会社 ロータス,https://www.green-japan.com/job/73993,東京都
株式会社 ミナケア,https://www.green-japan.com/job/86268,東京都
ベースメントアップス 株式会社,https://www.green-japan.com/job/99463,東京都
株式会社 DouYu Japan,https://www.green-japan.com/job/103763,東京都
株式会社 スタイル・エッジ,https://www.green-japan.com/job/109232,東京都
ワイズアンドパートナーズ・ジャパン 株式会社,https://www.green-japan.com/job/36252,東京都，神奈川県，海外
株式会社 マーケットエンタープライズ,https://www.green-japan.com/job/39561,東京都
株式会社 SeRoRi,https://www.green-japan.com/job/78577,東京都
株式会社 Diverse,https://www.green-japan.com/job/91185,東京都
株式会社 Showcase Gig,https://www.green-japan.com/job/105194,東京都
株式会社 カンム,https://www.green-japan.com/job/91297,東京都
株式会社 エージェンテック,https://www.green-japan.com/job/100405,東京都
ワンダープラネット 株式会社,https://www.green-japan.com/job/101801,東京都
株式会社 アウトソーシングテクノロジー R&D事業本部,https://www.green-japan.com/job/113274,福岡県
株式会社 エイチーム,https://www.green-japan.com/job/58253,大阪府
INCLUSIVE 株式会社,https://www.green-japan.com/job/77362,東京都
株式会社 ナディア,https://www.green-japan.com/job/79005,北海道
シンテグレート 合同会社,https://www.green-japan.com/job/96790,東京都
ISHグループ 株式会社,https://www.green-japan.com/job/103471,東京都
株式会社 ラプト,https://www.green-japan.com/job/107880,北海道
株式会社 SKIYAKI,https://www.green-japan.com/job/114251,東京都
株式会社 アルトナー,https://www.green-japan.com/job/83214,岩手県，宮城県，秋田県，茨城県，栃木県，群馬県，埼玉県，千葉県，東京都，神奈川県，富山県，石川県，山梨県，長野県，岐阜県，静岡県，愛知県，三重県，滋賀県，京都府，大阪府，兵庫県，奈良県，和歌山県，岡山県，広島県，福岡県，熊本県
株式会社 ビットグルーヴ,https://www.green-japan.com/job/90407,京都府
株式会社 IoTBank,https://www.green-japan.com/job/108208,茨城県，栃木県，群馬県，山梨県，静岡県
株式会社 デパート,https://www.green-japan.com/job/108309,東京都
ZENoffice 株式会社,https://www.green-japan.com/job/108502,大阪府
株式会社 真面目,https://www.green-japan.com/job/113425,東京都
株式会社 小学館ミュージック＆デジタルエンタテイメント,https://www.green-japan.com/job/45444,東京都
株式会社 イグニス,https://www.green-japan.com/job/49846,東京都
株式会社 ゴゴジャン,https://www.green-japan.com/job/55471,東京都
株式会社 CLARITY STUDIO,https://www.green-japan.com/job/70307,東京都
株式会社 ジャパネットホールディングス,https://www.green-japan.com/job/75082,長崎県
株式会社 ライオンハート,https://www.green-japan.com/job/113761,愛知県
株式会社 ガイアックス,https://www.green-japan.com/job/113337,東京都
株式会社 プラスワン,https://www.green-japan.com/job/51843,京都府
株式会社 レスタス,https://www.green-japan.com/job/52502,大阪府
夢見る 株式会社,https://www.green-japan.com/job/57815,大阪府
パドルデザインカンパニー 株式会社,https://www.green-japan.com/job/78312,東京都
株式会社 24Frame,https://www.green-japan.com/job/96978,東京都
株式会社 トリビュー,https://www.green-japan.com/job/97016,東京都
株式会社 IMAGICA IRIS,https://www.green-japan.com/job/101914,東京都
株式会社 セルシス,https://www.green-japan.com/job/102160,東京都
ラッキー工芸 株式会社,https://www.green-japan.com/job/91102,兵庫県
株式会社 SNK,https://www.green-japan.com/job/99382,大阪府
株式会社 バリューワン,https://www.green-japan.com/job/109276,東京都
株式会社 f4samurai,https://www.green-japan.com/job/37183,東京都
株式会社 ドリコム,https://www.green-japan.com/job/45400,東京都
株式会社 ハロネット,https://www.green-japan.com/job/52858,福岡県
株式会社 スパイス,https://www.green-japan.com/job/70761,東京都
株式会社 ゼロワン,https://www.green-japan.com/job/74584,東京都
株式会社 Studio Oops,https://www.green-japan.com/job/33787,東京都
株式会社 グロービス,https://www.green-japan.com/job/46281,東京都
株式会社 リクリック,https://www.green-japan.com/job/50265,東京都
株式会社 tenkai,https://www.green-japan.com/job/51648,東京都
株式会社  Trys,https://www.green-japan.com/job/108615,東京都
株式会社 デジタル・ガーデン,https://www.green-japan.com/job/111535,東京都
株式会社 ストレイナー,https://www.green-japan.com/job/112158,埼玉県，千葉県，東京都，神奈川県，全国
株式会社 10ANTZ,https://www.green-japan.com/job/112430,東京都
株式会社 久,https://www.green-japan.com/job/114772,愛媛県
株式会社 コロプラ,https://www.green-japan.com/job/60051,東京都
株式会社 アトラス,https://www.green-japan.com/job/63245,東京都
バルテス 株式会社,https://www.green-japan.com/job/75890,大阪府
エヌディーキューブ 株式会社,https://www.green-japan.com/job/91568,北海道
ビットバンク 株式会社,https://www.green-japan.com/job/100751,東京都
株式会社 ディ・テクノ,https://www.green-japan.com/job/101573,東京都
株式会社 シンクロジック,https://www.green-japan.com/job/92260,神奈川県
株式会社 ソードケインズスタジオ,https://www.green-japan.com/job/100464,東京都
バリュークリエーション 株式会社,https://www.green-japan.com/job/107123,東京都
株式会社 積木製作,https://www.green-japan.com/job/47361,東京都
株式会社 DeNA Games Tokyo,https://www.green-japan.com/job/45275,東京都
株式会社 アクロビジョン,https://www.green-japan.com/job/65609,埼玉県，千葉県，東京都，神奈川県
株式会社 16bit.,https://www.green-japan.com/job/69720,東京都
キャリアマネジメント 株式会社,https://www.green-japan.com/job/73603,東京都
株式会社 サンプロ,https://www.green-japan.com/job/78800,長野県
スターティアラボ 株式会社,https://www.green-japan.com/job/82184,東京都
株式会社 ジュニ,https://www.green-japan.com/job/99329,東京都
株式会社 GUNCY'S,https://www.green-japan.com/job/111755,東京都
株式会社 Timers,https://www.green-japan.com/job/58801,東京都
イグニション・ポイント 株式会社,https://www.green-japan.com/job/107685,東京都
株式会社 イマクリエ,https://www.green-japan.com/job/108105,全国
株式会社 Catallaxy,https://www.green-japan.com/job/99200,東京都
株式会社 イノベーションパートナーズ,https://www.green-japan.com/job/105196,東京都
株式会社 SOUSEI Technology,https://www.green-japan.com/job/113478,東京都
株式会社 VOYAGE GROUP,https://www.green-japan.com/job/113693,東京都
株式会社 エクスジール,https://www.green-japan.com/job/49095,大阪府，福岡県
株式会社 ピュアボックス,https://www.green-japan.com/job/31677,岡山県
株式会社 Live2D,https://www.green-japan.com/job/47796,東京都
パーソルプロセス＆テクノロジー株式会社（旧：株式会社インテリジェンス ビジネスソリューションズ）,https://www.green-japan.com/job/70533,東京都
株式会社 マスターピース,https://www.green-japan.com/job/73058,東京都
株式会社 エクサウィザーズ,https://www.green-japan.com/job/110314,東京都
株式会社 LOCUS,https://www.green-japan.com/job/27718,東京都
株式会社 MediBang,https://www.green-japan.com/job/52986,東京都
株式会社 セプテーニ・オリジナル ,https://www.green-japan.com/job/109962,東京都
株式会社 ジーゼ,https://www.green-japan.com/job/95694,大阪府
学校法人 電子学園　日本電子専門学校,https://www.green-japan.com/job/107300,東京都
Qrio 株式会社,https://www.green-japan.com/job/108018,東京都
株式会社 ネクソン,https://www.green-japan.com/job/113065,東京都
アルビド・ジャパン 株式会社,https://www.green-japan.com/job/47872,東京都
株式会社 ソノブイ,https://www.green-japan.com/job/52966,東京都
株式会社 エイティング,https://www.green-japan.com/job/61350,東京都
学校法人 山口学園,https://www.green-japan.com/job/84269,大阪府
株式会社 インディ・アソシエイツ,https://www.green-japan.com/job/15617,東京都
株式会社 オーツー,https://www.green-japan.com/job/26050,大阪府
株式会社 ゲームスタジオ,https://www.green-japan.com/job/27750,東京都
株式会社 リスペクト,https://www.green-japan.com/job/37470,宮城県
株式会社 ナウプロダクション,https://www.green-japan.com/job/43755,東京都
ナツメアタリ 株式会社,https://www.green-japan.com/job/49388,大阪府
株式会社 タムソフト,https://www.green-japan.com/job/62257,東京都
サンクスラボ 株式会社,https://www.green-japan.com/job/70359,福岡県
Repro 株式会社,https://www.green-japan.com/job/70487,東京都
